fid,species,qr_code_id,tree_image,comment,odk_KEY,x_32632,y_32632,diameter_m,tls_treeheight,plot_id,tree_id,full_id,elevation
1,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_27,1732620954736.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[1],416700.676343439,5346611.6686289,0.0891267681314614,27.28962149,16,27,16_27,524.799743652344
2,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_28,1732621157835.jpg,No barcode tag,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[2],416698.102078088,5346611.89774244,0.165521140815571,27.65825122,16,28,16_28,524.655944824219
3,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_29,1732621415109.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[3],416699.397935178,5346613.17863203,0.130507053335354,26.53824404,16,29,16_29,524.713439941406
4,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_30,1732621558170.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[4],416704.584803682,5346614.5140774,0.366056369111359,28.58093068,16,30,16_30,524.941955566406
5,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_31,1732621683746.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[5],416703.997276127,5346609.91064066,0.397887357729738,28.73643552,16,31,16_31,525.006164550781
6,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_32,1732621738341.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[6],416702.405929985,5346609.70051411,0.0795774715459477,,16,32,16_32,524.952758789062
7,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_33,1732621819668.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[7],416701.477423741,5346607.78461707,0.146422547644544,28.09705714,16,33,16_33,524.947814941406
8,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_34,1732621886538.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[8],416702.039623431,5346607.20629043,0.124140855611678,,16,34,16_34,524.974670410156
9,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_35,1732622010174.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[9],416702.748023811,5346603.50983477,0.480647928137524,27.71990527,16,35,16_35,525.098083496094
10,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_36,1732622115052.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[10],416708.328629742,5346602.88320678,0.315126787321953,28.20064232,16,36,16_36,525.177307128906
11,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_37,1732622204968.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[11],416709.547805861,5346602.76363289,0.0827605704077856,,16,37,16_37,525.218444824219
12,Beech,https://dt.unr.uni-freiburg.de/ecosense/16_38,1732622294157.jpg,,uuid:e209a154-c01c-4534-b144-cfa7d7713b22/loop[12],416710.797182823,5346608.98779502,0.33422538049298,29.12801432,16,38,16_38,525.115478515625
