---,TimeStamp,Value,Parameter,TimeseriesID
0,"2024-08-04 08:00:00","12.30684703","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
1,"2024-08-04 08:15:00","12.6715856","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
2,"2024-08-04 08:30:00","12.72429715","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
3,"2024-08-04 08:45:00","11.74502528","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
4,"2024-08-04 09:00:00","11.78032738","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
5,"2024-08-04 09:15:00","14.41412459","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
6,"2024-08-04 09:30:00","14.67524258","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
7,"2024-08-04 09:45:00","15.32465935","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
8,"2024-08-04 10:00:00","16.97624158","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
9,"2024-08-04 10:15:00","18.14811497","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
10,"2024-08-04 10:30:00","18.2384295","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
11,"2024-08-04 10:45:00","17.88336871","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
12,"2024-08-04 11:00:00","17.76895887","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
13,"2024-08-04 11:15:00","17.93865909","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
14,"2024-08-04 11:30:00","18.42140962","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
15,"2024-08-04 11:45:00","18.80176388","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
16,"2024-08-04 12:00:00","18.89110352","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
17,"2024-08-04 12:15:00","19.58992655","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
18,"2024-08-04 12:30:00","19.66560883","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
19,"2024-08-04 12:45:00","19.80361411","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
20,"2024-08-04 13:00:00","19.58369689","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
21,"2024-08-04 13:15:00","19.6144604","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
22,"2024-08-04 13:30:00","19.0978934","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
23,"2024-08-04 13:45:00","19.20120479","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
24,"2024-08-04 14:00:00","19.68736605","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
25,"2024-08-04 14:15:00","19.46967481","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
26,"2024-08-04 14:30:00","19.20057847","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
27,"2024-08-04 14:45:00","19.68736605","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
28,"2024-08-04 15:00:00","20.01865123","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
29,"2024-08-04 15:15:00","20.35109053","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
30,"2024-08-04 15:30:00","19.86043894","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
31,"2024-08-04 15:45:00","20.01991713","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
32,"2024-08-04 16:00:00","19.98986473","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
33,"2024-08-04 16:15:00","19.66162885","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
34,"2024-08-04 16:30:00","18.74225945","Sapflow","Sapflow.DouglasFir_Mixed_5_Total_SapFlow@Ecosense_MixedPlot"
