---,TimeStamp,Value,Parameter,TimeseriesID
0,"2024-08-04 08:00:00","17.55","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
1,"2024-08-04 08:15:00","17.56","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
2,"2024-08-04 08:30:00","17.6","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
3,"2024-08-04 08:45:00","17.64","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
4,"2024-08-04 09:00:00","17.71","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
5,"2024-08-04 09:15:00","17.71","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
6,"2024-08-04 09:30:00","17.76","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
7,"2024-08-04 09:45:00","17.76","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
8,"2024-08-04 10:00:00","17.79","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
9,"2024-08-04 10:15:00","17.83","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
10,"2024-08-04 10:30:00","17.85","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
11,"2024-08-04 10:45:00","17.88","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
12,"2024-08-04 11:00:00","17.94","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
13,"2024-08-04 11:15:00","17.99","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
14,"2024-08-04 11:30:00","17.98","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
15,"2024-08-04 11:45:00","18.05","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
16,"2024-08-04 12:00:00","18.05","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
17,"2024-08-04 12:15:00","18.11","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
18,"2024-08-04 12:30:00","18.1","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
19,"2024-08-04 12:45:00","18.11","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
20,"2024-08-04 13:00:00","18.16","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
21,"2024-08-04 13:15:00","18.18","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
22,"2024-08-04 13:30:00","18.21","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
23,"2024-08-04 13:45:00","18.23","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
24,"2024-08-04 14:00:00","18.27","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
25,"2024-08-04 14:15:00","18.32","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
26,"2024-08-04 14:30:00","18.32","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
27,"2024-08-04 14:45:00","18.35","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
28,"2024-08-04 15:00:00","18.35","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
29,"2024-08-04 15:15:00","18.37","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
30,"2024-08-04 15:30:00","18.35","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
31,"2024-08-04 15:45:00","18.38","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
32,"2024-08-04 16:00:00","18.39","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
33,"2024-08-04 16:15:00","18.42","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
34,"2024-08-04 16:30:00","18.45","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
35,"2024-08-04 16:45:00","18.44","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
36,"2024-08-04 17:00:00","18.39","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
37,"2024-08-04 17:15:00","18.42","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
38,"2024-08-04 17:30:00","18.4","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
39,"2024-08-04 17:45:00","18.38","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
40,"2024-08-04 18:00:00","18.4","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
41,"2024-08-04 18:15:00","18.37","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
42,"2024-08-04 18:30:00","18.35","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
43,"2024-08-04 18:45:00","18.32","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
44,"2024-08-04 19:00:00","18.32","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
45,"2024-08-04 19:15:00","18.27","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
46,"2024-08-04 19:30:00","18.25","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
47,"2024-08-04 19:45:00","18.22","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
48,"2024-08-04 20:00:00","18.2","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
49,"2024-08-04 20:15:00","18.18","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
50,"2024-08-04 20:30:00","18.15","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
51,"2024-08-04 20:45:00","18.14","SoilTemp","SoilTemp.DouglasFir_Mixed_5_edge_E@Ecosense_MixedPlot"
